barcode_group,fwd,rvs
P1,bc1,bc1
P3,bc1,bc2
P5,bc1,bc3
P7,bc2,bc1
P9,bc2,bc2
P11,bc2,bc3
P13,bc3,bc1
P15,bc3,bc2
P17,bc3,bc3
P19,bc4,bc1
control,bc4,bc2
