,generations,,,,,,,,,
sample_label,50,70,90,110,130,150,170,190,210,230
TrpB-IE5,TrpB_P1,TrpB_P3,TrpB_P5,TrpB_P7,TrpB_P9,TrpB_P11,TrpB_P13,TrpB_P15,TrpB_P17,TrpB_P19
